iter	Passed	Remaining
307	2794	6278
308	2803	6269
309	2812	6259
310	2821	6250
311	2830	6240
312	2839	6231
313	2847	6222
314	2856	6212
315	2866	6204
316	2875	6195
317	2884	6185
318	2893	6176
319	2902	6166
320	2910	6157
321	2919	6148
322	2928	6138
323	2937	6129
324	2946	6119
325	2955	6110
326	2964	6100
327	2973	6091
328	2982	6082
329	2991	6073
330	3000	6063
331	3008	6054
332	3017	6044
333	3026	6035
334	3035	6026
335	3044	6016
336	3053	6007
337	3062	5998
338	3071	5989
339	3081	5981
340	3090	5972
341	3100	5964
342	3109	5956
343	3118	5947
344	3127	5938
345	3136	5929
346	3145	5920
347	3154	5910
348	3163	5901
349	3173	5892
350	3182	5883
351	3190	5874
352	3199	5864
353	3208	5855
354	3217	5845
355	3226	5836
356	3235	5828
357	3244	5818
358	3253	5809
359	3263	5801
360	3272	5792
361	3281	5783
362	3290	5774
363	3299	5765
364	3308	5755
365	3317	5746
366	3326	5736
367	3334	5727
368	3343	5717
369	3352	5708
370	3362	5700
371	3371	5691
372	3380	5681
373	3389	5674
374	3398	5664
375	3407	5655
376	3416	5646
377	3425	5636
378	3434	5627
379	3443	5618
380	3452	5609
381	3462	5601
382	3471	5593
383	3481	5584
384	3489	5574
385	3498	5565
386	3507	5556
387	3516	5546
388	3525	5537
389	3533	5527
390	3542	5518
391	3552	5510
392	3561	5501
393	3570	5492
394	3579	5482
395	3588	5473
396	3597	5463
397	3605	5454
398	3615	5445
399	3623	5435
400	3632	5426
401	3641	5416
402	3650	5407
403	3659	5398
404	3668	5389
405	3677	5379
406	3686	5370
407	3695	5361
408	3703	5351
409	3712	5342
410	3721	5333
411	3730	5323
412	3739	5314
413	3748	5305
414	3757	5296
415	3766	5286
416	3774	5277
417	3784	5268
418	3792	5259
419	3801	5249
420	3810	5240
421	3819	5231
422	3828	5222
423	3837	5213
424	3846	5204
425	3855	5194
426	3864	5185
427	3873	5176
428	3882	5167
429	3891	5158
430	3899	5148
431	3908	5139
432	3917	5129
433	3926	5120
434	3936	5112
435	3944	5103
436	3953	5093
437	3962	5084
438	3971	5074
439	3980	5065
440	3989	5056
441	3998	5047
442	4007	5038
443	4016	5029
444	4025	5020
445	4034	5010
446	4043	5001
447	4051	4992
448	4060	4983
449	4069	4973
450	4078	4964
451	4087	4955
452	4095	4945
453	4104	4936
454	4113	4927
455	4122	4918
456	4131	4909
457	4140	4899
458	4149	4891
459	4158	4882
460	4167	4872
461	4176	4863
462	4185	4854
463	4194	4845
464	4203	4836
465	4212	4826
466	4221	4817
467	4230	4808
468	4239	4799
469	4248	4790
470	4257	4781
471	4266	4772
472	4275	4763
473	4284	4754
474	4293	4745
475	4303	4736
476	4311	4727
477	4320	4718
478	4329	4709
479	4338	4699
480	4347	4690
481	4356	4682
482	4365	4673
483	4374	4663
484	4383	4654
485	4392	4645
486	4400	4635
487	4409	4626
488	4418	4617
489	4427	4608
490	4436	4599
491	4445	4590
492	4454	4580
493	4463	4571
494	4472	4563
495	4481	4554
496	4490	4544
497	4499	4535
498	4508	4526
499	4517	4517
500	4525	4507
501	4534	4498
502	4543	4489
503	4552	4480
504	4561	4471
505	4570	4462
506	4579	4452
507	4588	4444
508	4597	4435
509	4606	4426
510	4616	4417
511	4625	4408
512	4633	4399
513	4642	4389
514	4651	4380
515	4660	4371
516	4669	4361
517	4677	4352
518	4686	4343
519	4695	4334
520	4705	4325
521	4713	4316
522	4722	4307
523	4732	4298
524	4741	4289
525	4749	4280
526	4758	4271
527	4767	4262
528	4776	4252
529	4785	4243
530	4794	4234
531	4803	4225
532	4812	4216
533	4821	4207
534	4829	4197
535	4838	4188
536	4848	4179
537	4857	4170
538	4865	4161
539	4874	4152
540	4883	4143
541	4892	4134
542	4901	4125
543	4910	4116
544	4919	4107
545	4928	4097
546	4937	4088
547	4946	4079
548	4955	4071
549	4964	4062
550	4973	4052
551	4982	4043
552	4991	4034
553	5000	4025
554	5008	4016
555	5017	4007
556	5026	3997
557	5035	3988
558	5044	3979
559	5053	3970
560	5062	3961
561	5071	3952
562	5080	3943
563	5089	3934
564	5098	3925
565	5107	3916
566	5116	3907
567	5124	3897
568	5133	3888
569	5142	3879
570	5151	3870
571	5160	3861
572	5169	3852
573	5178	3843
574	5187	3834
575	5196	3825
576	5205	3816
577	5214	3806
578	5223	3797
579	5231	3788
580	5240	3779
581	5249	3770
582	5258	3761
583	5267	3751
584	5276	3742
585	5285	3733
586	5293	3724
587	5302	3715
588	5311	3706
589	5320	3697
590	5329	3687
591	5337	3678
592	5346	3669
593	5355	3660
594	5364	3651
595	5373	3642
596	5382	3633
597	5390	3623
598	5399	3614
599	5408	3605
600	5417	3596
601	5426	3587
602	5435	3578
603	5444	3569
604	5453	3560
605	5462	3551
606	5470	3542
607	5479	3532
608	5488	3523
609	5497	3514
610	5506	3505
611	5514	3496
612	5524	3487
613	5533	3478
614	5541	3469
615	5550	3460
616	5559	3451
617	5568	3442
618	5577	3432
619	5586	3423
620	5595	3414
621	5604	3405
622	5613	3396
623	5621	3387
624	5630	3378
625	5639	3369
626	5648	3360
627	5657	3351
628	5666	3342
629	5675	3333
630	5684	3324
631	5693	3315
632	5702	3305
633	5710	3296
634	5719	3287
635	5728	3278
636	5737	3269
637	5746	3260
638	5755	3251
639	5764	3242
640	5773	3233
641	5781	3224
642	5791	3215
643	5800	3206
644	5809	3197
645	5818	3188
646	5827	3179
647	5836	3170
648	5845	3161
649	5854	3152
650	5863	3143
651	5871	3134
652	5880	3125
653	5889	3116
654	5898	3106
655	5907	3097
656	5916	3088
657	5925	3079
658	5934	3070
659	5943	3061
660	5952	3052
661	5960	3043
662	5969	3034
663	5978	3025
664	5987	3016
665	5996	3007
666	6004	2997
667	6013	2988
668	6022	2979
669	6031	2970
670	6040	2961
671	6049	2952
672	6058	2943
673	6067	2934
674	6076	2925
675	6085	2916
676	6094	2907
677	6102	2898
678	6112	2889
679	6120	2880
680	6129	2871
681	6138	2862
682	6147	2853
683	6155	2843
684	6164	2834
685	6173	2825
686	6183	2817
687	6192	2808
688	6201	2799
689	6210	2790
690	6218	2780
691	6227	2771
692	6236	2762
693	6245	2753
694	6254	2744
695	6263	2735
696	6272	2726
697	6281	2717
698	6290	2708
699	6298	2699
700	6307	2690
701	6316	2681
702	6325	2672
703	6334	2663
704	6343	2654
705	6352	2645
706	6361	2636
707	6370	2627
708	6378	2618
709	6387	2608
710	6396	2599
711	6405	2590
712	6414	2581
713	6423	2572
714	6432	2563
715	6440	2554
716	6449	2545
717	6458	2536
718	6467	2527
719	6476	2518
720	6484	2509
721	6493	2500
722	6502	2491
723	6511	2482
724	6520	2473
725	6529	2464
726	6538	2455
727	6547	2446
728	6556	2437
729	6565	2428
730	6574	2419
731	6583	2410
732	6592	2401
733	6601	2392
734	6610	2383
735	6619	2374
736	6628	2365
737	6637	2356
738	6645	2347
739	6654	2338
740	6664	2329
741	6672	2320
742	6681	2311
743	6690	2302
744	6699	2293
745	6708	2284
746	6716	2274
747	6726	2266
748	6734	2256
749	6743	2247
750	6753	2239
751	6762	2230
752	6770	2220
753	6780	2212
754	6789	2203
755	6798	2194
756	6807	2185
757	6816	2176
758	6825	2167
759	6834	2158
760	6842	2149
761	6851	2140
762	6860	2130
763	6869	2121
764	6878	2112
765	6886	2103
766	6896	2095
767	6905	2086
768	6914	2077
769	6923	2068
770	6932	2059
771	6941	2050
772	6950	2041
773	6959	2031
774	6967	2022
775	6977	2013
776	6986	2005
777	6995	1996
778	7004	1987
779	7012	1977
780	7021	1968
781	7030	1959
782	7039	1950
783	7048	1941
784	7057	1932
785	7066	1923
786	7075	1914
787	7084	1905
788	7093	1896
789	7102	1887
790	7111	1878
791	7119	1869
792	7128	1860
793	7137	1851
794	7146	1842
795	7155	1833
796	7164	1824
797	7173	1815
798	7181	1806
799	7190	1797
800	7199	1788
801	7208	1779
802	7217	1770
803	7226	1761
804	7235	1752
805	7243	1743
806	7252	1734
807	7261	1725
808	7270	1716
809	7279	1707
810	7288	1698
811	7297	1689
812	7305	1680
813	7315	1671
814	7324	1662
815	7333	1653
816	7341	1644
817	7351	1635
818	7360	1626
819	7369	1617
820	7378	1608
821	7387	1599
822	7396	1590
823	7404	1581
824	7413	1572
825	7422	1563
826	7431	1554
827	7440	1545
828	7449	1536
829	7458	1527
830	7467	1518
831	7476	1509
832	7485	1500
833	7494	1491
834	7503	1482
835	7511	1473
836	7521	1464
837	7530	1455
838	7539	1446
839	7548	1437
840	7557	1428
841	7567	1419
842	7576	1411
843	7586	1402
844	7595	1393
845	7605	1384
846	7614	1375
847	7623	1366
848	7634	1357
849	7644	1348
850	7653	1340
851	7663	1331
852	7672	1322
853	7681	1313
854	7691	1304
855	7700	1295
856	7710	1286
857	7719	1277
858	7729	1268
859	7739	1259
860	7748	1250
861	7759	1242
862	7768	1233
863	7778	1224
864	7787	1215
865	7797	1206
866	7806	1197
867	7816	1188
868	7827	1179
869	7837	1171
870	7847	1162
871	7856	1153
872	7866	1144
873	7876	1135
874	7885	1126
875	7895	1117
876	7904	1108
877	7914	1099
878	7923	1090
879	7933	1081
880	7942	1072
881	7952	1063
882	7962	1055
883	7972	1046
884	7982	1037
885	7991	1028
886	8001	1019
887	8010	1010
888	8020	1001
889	8029	992
890	8038	983
891	8047	974
892	8056	965
893	8065	956
894	8074	947
895	8083	938
896	8091	929
897	8100	920
898	8109	911
899	8118	902
900	8127	893
901	8136	883
902	8144	874
903	8153	865
904	8162	856
905	8171	847
906	8180	838
907	8189	829
908	8198	820
909	8207	811
910	8216	802
911	8224	793
912	8233	784
913	8242	775
914	8251	766
915	8259	757
916	8268	748
917	8277	739
918	8286	730
919	8295	721
920	8303	712
921	8312	703
922	8321	694
923	8330	685
924	8339	676
925	8348	667
926	8357	658
927	8366	649
928	8375	640
929	8384	631
930	8393	622
931	8401	613
932	8410	603
933	8419	594
934	8428	585
935	8436	576
936	8445	567
937	8455	558
938	8464	549
939	8473	540
940	8482	531
941	8492	522
942	8501	513
943	8511	504
944	8520	495
945	8530	486
946	8539	477
947	8549	468
948	8557	459
949	8566	450
950	8575	441
951	8584	432
952	8593	423
953	8602	414
954	8611	405
955	8620	396
956	8629	387
957	8638	378
958	8647	369
959	8656	360
960	8665	351
961	8674	342
962	8683	333
963	8692	324
964	8701	315
965	8710	306
966	8719	297
967	8728	288
968	8737	279
969	8747	270
970	8755	261
971	8764	252
972	8773	243
973	8782	234
974	8791	225
975	8800	216
976	8809	207
977	8818	198
978	8826	189
979	8835	180
980	8844	171
981	8853	162
982	8862	153
983	8871	144
984	8880	135
985	8889	126
986	8897	117
987	8906	108
988	8915	99
989	8924	90
990	8933	81
991	8941	72
992	8950	63
993	8959	54
994	8968	45
995	8978	36
996	8987	27
997	8995	18
998	9004	9
999	9013	0
